疾病编码,疾病名称,疾病描述,疾病分级,常用诊疗,常用诊疗编号,常用药品,常用药品编号
D001,高血压,"一种以体循环动脉压升高为特征的慢性病",三级,门急诊留观诊查费;体检费,1011;1027,厄贝沙坦分散片;硝苯地平片,M24;M13
D002,糖尿病,"慢性代谢性疾病，主要特征是高血糖",三级,住院诊查费;门急诊留观诊查费,1012;1011,阿莫西林胶囊,M1
D003,哮喘,"呼吸系统疾病，表现为反复发作的气喘和呼吸困难",二级,急诊监护费;门急诊留观诊查费,1015;1011,阿司匹林肠溶片,M9
D004,慢性支气管炎,"长期咳嗽和产痰为主要症状的慢性阻塞性肺疾病",二级,门急诊留观诊查费;院前急救费(烧伤),1011;1020,阿莫西林胶囊;护彤,M1;M3
D005,风湿性关节炎,"自身免疫性疾病，造成关节长期炎症",三级,体检费;院前急救费,1027;1017,阿司匹林肠溶片;开塞露,M9;M16
D006,肺炎,"肺部感染疾病，常见的有病原体感染引起",二级,急诊监护费;普通门诊诊查费,1015;1005,阿莫西林胶囊,M1
D007,骨折,"骨头断裂或者有损伤的情况",一级,院前急救费(外伤);院前急救费,1019;1017,阿莫西林胶囊,M1
D008,抑郁症,"一种常见的情感性障碍，常伴有情绪低落",三级,急诊监护费;护理会诊(PICC、造口)主任护师,1015;1062,阿莫西林胶囊,M1
D009,高脂血症,"脂肪代谢失调引起的血液疾病",三级,体检费;门急诊留观诊查费,1027;1011,阿莫西林胶囊,M1
D010,胃溃疡,"胃部粘膜缺损，常由胃酸过多引起",二级,门急诊留观诊查费;急诊监护费,1011;1015,奥美拉唑肠溶胶囊,M6
D011,痛风,"尿酸代谢障碍和关节炎症的疾病",三级,急诊监护费;专家门诊诊查费(主任医师),1015;1007,阿莫西林胶囊,M1
D012,哮喘,"呼吸道高反应性引起的慢性炎症性疾病",二级,急诊监护费;院前急救费,1015;1017,阿莫西林胶囊,M1
D013,乙型肝炎,"由乙型肝炎病毒引起的传染性疾病",一级,院前急救费;急诊监护费,1017;1015,阿莫西林胶囊,M1
D014,癫痫,"慢性大脑神经疾病，发作时神经元异常放电",二级,急诊监护费;院前急救费,1015;1017,阿莫西林胶囊,M1
D015,肾炎,"肾脏发炎导致肾功能逐渐丧失的疾病",二级,急诊监护费;体检费,1015;1027,阿莫西林胶囊,M1
D016,腮腺炎,"通常由病毒感染的唾液腺疾病，俗称风疹块",一级,院前急救费(外伤);门急诊留观诊查费,1019;1011,阿莫西林胶囊,M1
D017,阑尾炎,"通常由阑尾感染引起的急腹症",二级,急诊监护费;急诊诊查费,1015;1010,头孢拉定胶囊,M5